Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 146)	Светло-песочный;белый	С колосом	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 147)	Коричневый;белый	С колосом	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 148)	Коричневый;белый	С колосом	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 149)	Коричневый;белый	С колосом	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 150)	Черный;бежевый;белый	С кофе	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 151)	Черный;бежевый;белый	С кофе	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 152)	Бежевый;черный;рыжий терракот 	С кофе	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 153)	Коричневый;белый;бежевый	С кофе	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 154)	Клубничный блонд;черный;тускло-сиреневый	В худи	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 155)	Рыжий терракот;черный;тускло-сиреневый	В худи	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 156)	Черный;тускло-сиреневый	В худи	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 157)	Светло-песочный;черный	В худи	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 158)	Коричневый;тускло-сиреневый	В худи	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 159)	Светло-песочный;голубой;синий	В кофте	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 160)	Светло-песочный;голубой;синий;черный	В кофте	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 161)	Светло-песочный;голубой;синий	В кофте	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 162)	Светло-песочный;голубой;синий;рыжий терракот	В кофте	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 163)	Бежевый;красный;черный	В тренче	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 164)	Серый;красный;черный	В кофте	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 165)	Крачный;белый;черный	В кофте	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 166)	Светло-песочный;серый;черный	В кофте	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 167)	Рыжий терракот;черный;серый	В кофте	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 168)	Белый;розовый;черный	В очках	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 169)	Розовый;белый;черный	В очках	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 170)	Зеленый;фиолетовый;красный	С цветами	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 171)	Оранжевый;красный;белый	Тигр	Животные	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 172)	Коричневый;черный;белый	С гантелью	Медведь	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 173)	Черный;белый	Мотивация	Бокс	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 174)	Черный;белый;коричневый	В кепке	Мопс	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 175)	Черный;белый;коричневый	My style	Девушка	Персонажи фильмов	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 176)	Черный;белый;красный	С сердцем	Рука	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 200)	Золотистый;фиолетовый;синий;зеленый	Медальон	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 201)	Черный;красный;белый;коричневый	Makeup	Косметика	Персонажи фильмов	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 202)	Белый;фиолетовый	В поле	Единороги	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 203)	Желтый;синий;зеленый	Цветная	Роза	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 204)	Зеленый;коричневый	Avokado	Авокадо	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 205)	Красный;черный;белый	London	Автобус	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 206)	Черный;серый;белый	Anime	Аниме	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 207)	Серый;красный;черный	Биг-Бен	Лондон	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 208)	Золотистый;фиолетовый;бирюзовый	Неон	Бабочки	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 209)	Красный;белый;черный	В цветах	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 210)	Красный;белый;черный	В цветах	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 211)	Зеленый;розовый;фиолетовый	С цветами	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 212)	Зеленый;розовый;фиолетовый	С цветами	Девушка	Персонажи мультфильмов	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 213)	Черный;белый;зеленый	Узоры	Абстракция	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 214)	Красный;черный;белый	Frankfurt	Марка	Другие персонажи	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
