Принт	Цвет	Декоративные элементы	Рисунок	Любимые герои	Повод	Назничене подарка
(Принт 151)	Черный	С рисунком картинкой принтом печатью	Девушка брюнетка стиль	С кофе эстетика	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 152)	Черный	С рисунком картинкой принтом печатью	Девушка рыжая стиль	С кофе эстетика	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 153)	Черный	С рисунком картинкой принтом печатью	Девушка шатенка стиль	С кофе эстетика	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 154)	Сиреневый	С рисунком картинкой принтом печатью	Девушка стиль	В худи fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 155)	Сиреневый	С рисунком картинкой принтом печатью	Девушка рыжая стиль	В худи fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 156)	Сиреневый	С рисунком картинкой принтом печатью	Девушка брюнетка стиль	В худи fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 157)	Сиреневый	С рисунком картинкой принтом печатью	Девушка блондинка стиль	В худи fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 158)	Сиреневый	С рисунком картинкой принтом печатью	Девушка рыжая стиль	В худи fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 159)	Бежевый	С рисунком картинкой принтом печатью	Девушка шатенка стиль	С косой 	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 160)	Бежевый	С рисунком картинкой принтом печатью	Девушка брюнетка стиль	С косой	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 161)	Бежевый	С рисунком картинкой принтом печатью	Девушка блондинка стиль	С косой	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 162)	Бежевый	С рисунком картинкой принтом печатью	Девушка рыжая стиль	С косой	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 163)	Бежевый	С рисунком картинкой принтом печатью	Девушка стиль	В тренче fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 164)	Серый	С рисунком картинкой принтом печатью	Девушка стиль	В свитшоте fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 165)	Серый	С рисунком картинкой принтом печатью	Девушка брюнетка стиль	В свитшоте fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 166)	Серый	С рисунком картинкой принтом печатью	Девушка блондинка стиль	В свитшоте fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 167)	Серый	С рисунком картинкой принтом печатью	Девушка рыжая	В свитшоте fashion	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 168)	Бежевый	С рисунком картинкой принтом печатью	Девушка в платье	В очках	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 169)	Голубой	С рисунком картинкой принтом печатью	Девушка в очках	В шапке	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 170)	Розовый	С рисунком картинкой принтом печатью	Девушка	С венком	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 171)	Оранжевый	С рисунком картинкой принтом печатью	Тигр	Хищник	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 172)	Коричневый	С рисунком картинкой принтом печатью	Медведь с гантелью	Хищник	23 февраля; Новый год; День рождения	Мужской женский; для девушки для парня; для сына
(Принт 173)	Черный	С рисунком картинкой принтом печатью	Бокс	Перчатка	23 февраля; Новый год; День рождения	Мужской; для мужчины для парня; папе
(Принт 174)	Коричневый	С рисунком картинкой принтом печатью	Мопс	В кепке	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 175)	Черный	С рисунком картинкой принтом печатью	Девушка	С сумкой	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 176)	Белый	С рисунком картинкой принтом печатью	Рука	Сердце	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 200)	Золотистый	С рисунком картинкой принтом печатью	Ловец снов	Медальон	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 201)	Розовый	С рисунком картинкой принтом печатью	Косметика	Make up	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 202)	Фиолетовый	С рисунком картинкой принтом печатью	Единороги	В поле	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 203)	Желтый	С рисунком картинкой принтом печатью	Роза	В поле	День рождения; 14 февраля; 8 марта	Детский; Женский; для дочери для девушки
(Принт 204)	Зеленый	С рисунком картинкой принтом печатью	Авокадо	Avocado	8 марта; День рождения; 1 сентября	Для девочки; дочери; детский
(Принт 205)	Красный	С рисунком картинкой принтом печатью	Автобус	London	8 марта; 14 февраля; день рождения	Детский; для дочери для сына; брату сестре
(Принт 206)	Белый	С рисунком картинкой принтом печатью	Аниме Арт Манга Комикс	Anime Art Manga	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 207)	Серый	С рисунком картинкой принтом печатью	Лондон	London	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 208)	Фиолетовый	С рисунком картинкой принтом печатью	Бабочки Неон	Ночь	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 209)	Темно-пурпурный	С рисунком картинкой принтом печатью	Девушка с цветами	В платье	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 210)	Темно-пурпурный	С рисунком картинкой принтом печатью	Девушка с цветами	В платье	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 211)	Розовый	С рисунком картинкой принтом печатью	Девушка	С букетом	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 212)	Розовый	С рисунком картинкой принтом печатью	Девушка	С букетом	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 213)	Коричневый	С рисунком картинкой принтом печатью	Мандала	Узор	8 марта; 14 февраля; день рождения	Женщине маме сетсре; Коллеге подруге; Бабушке
(Принт 214)	Белый	С рисунком картинкой принтом печатью	Марка	Билет	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 215)	Желтый	С рисунком картинкой принтом печатью	Ретро наклейки	Стикеры	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 216)	Бежевый	С рисунком картинкой принтом печатью	Тедди	Кино	23 февраля; Новый год; День рождения	Парню девушке; Сетре брату; Маме папе
(Принт 217)	Розовый	С рисунком картинкой принтом печатью	Девушка	Girl	8 марта; 14 февраля; день рождения	Детский; для дочери для сына; брату сестре
(Принт 218)	Синий	С рисунком картинкой принтом печатью	Ретро наклейки	Стикеры	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 219)	Голубой	С рисунком картинкой принтом печатью	Ретро наклейки	Стикеры	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 220)	Черный	С рисунком картинкой принтом печатью	Спорт Стиль Мода 	Спорт	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 221)	Голубой	С рисунком картинкой принтом печатью	Помада	Lips	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
(Принт 222)	Серый	С рисунком картинкой принтом печатью	Ретро наклейки	Стикеры	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 223)	Розовый	С рисунком картинкой принтом печатью	Ретро наклейки	Стикеры	День рождения; просто так; новый год	Для парня; для девушки; другу брату
(Принт 224)	Белый	С рисунком картинкой принтом печатью	Мэрилин Монро	Monro	14 февраля; 8 марта; день рождения	Женский; для девушки; подруге
