PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
182;Чехол для OPPO F7 силикон прозрачный  Принт 182 (Гринч);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 182 (Гринч).jpg;Мультфильмы и детские;00-00011954;00-00038357
223;Чехол для OPPO F7 силикон прозрачный  Принт 223 (Губка Боб);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 223 (Губка Боб).jpg;Мультфильмы и детские;00-00011954;00-00038357
629;Чехол для OPPO F7 силикон прозрачный  Принт 629 (Дарт Вейдер);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 629 (Дарт Вейдер).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
274;Чехол для OPPO F7 силикон прозрачный  Принт 274 (Дары смерти арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 274 (Дары смерти арт).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
145;Чехол для OPPO F7 силикон прозрачный  Принт 145 (Девушка Арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 145 (Девушка Арт).jpg;Девушки;00-00011954;00-00038357
205;Чехол для OPPO F7 силикон прозрачный  Принт 205 (Девушка в джинсах);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 205 (Девушка в джинсах).jpg;Девушки;00-00011954;00-00038357
744;Чехол для OPPO F7 силикон прозрачный  Принт 744 (Девушка в красном платье арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 744 (Девушка в красном платье арт).jpg;Девушки;00-00011954;00-00038357
155;Чехол для OPPO F7 силикон прозрачный  Принт 155 (Девушка в красном платье);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 155 (Девушка в красном платье).jpg;Девушки;00-00011954;00-00038357
413;Чехол для OPPO F7 силикон прозрачный  Принт 413 (Девушка в цветах);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 413 (Девушка в цветах).jpg;Девушки;00-00011954;00-00038357
934;Чехол для OPPO F7 силикон прозрачный  Принт 934 (Девушка в шляпе);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 934 (Девушка в шляпе).jpg;Девушки;00-00011954;00-00038357
330;Чехол для OPPO F7 силикон прозрачный  Принт 330 (Девушка с вином);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 330 (Девушка с вином).jpg;Девушки;00-00011954;00-00038357
261;Чехол для OPPO F7 силикон прозрачный  Принт 261 (Дедпул арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 261 (Дедпул арт).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
608;Чехол для OPPO F7 силикон прозрачный  Принт 608 (Дедпул);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 608 (Дедпул).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
741;Чехол для OPPO F7 силикон прозрачный  Принт 741 (Джокер арт);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 741 (Джокер арт).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
194;Чехол для OPPO F7 силикон прозрачный  Принт 194 (Джокер Джаред Лето);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 194 (Джокер Джаред Лето).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
566;Чехол для OPPO F7 силикон прозрачный  Принт 566 (Джокер Хит Леджер);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 566 (Джокер Хит Леджер).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
411;Чехол для OPPO F7 силикон прозрачный  Принт 411 (Джокер Хоакин Феникс);/upload/products_pictures/silicone/OPPO F7 /pr/white/Принт 411 (Джокер Хоакин Феникс).jpg;Фильмы, сериалы, комиксы;00-00011954;00-00038357
